trial,decision,response time,Trial_File,num,p1,p2,p3,p4,num',p1',p2',p3',p4',P1'-P1,P2'-P2,P3'-P3,P4'-P4
48.0,1.0,2.0079858,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,48,-2.49915208287605,33.293755761264,-15.7068728761951,5.62087852310893,748,-21.8698646136018,-70.1158018776451,-86.8527110737684,-24.686100870679,-19.370712530725747,-103.40955763890909,-71.14583819757331,-30.306979393787927
49.0,0.0,2.0263365,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,49,-72.3866225650432,-4.82650168083726,1.9358076480391,66.3023435629899,749,-85.5592192831642,-67.3314132692259,5.75957974495583,-24.1548342258416,-13.172596718121,-62.504911588388644,3.8237720969167297,-90.4571777888315
50.0,0.0,2.245675,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,50,-4.97848850668232,56.2015856926856,71.1816031593537,0.102181686245437,750,81.4612565157949,84.5649955879543,-5.74854638261901,-26.7484831274171,86.43974502247723,28.363409895268703,-76.93014954197271,-26.850664813662537
51.0,0.0,3.9412759,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,51,-49.1093517472825,-42.8546250681667,-80.7971602093718,66.6925521468717,751,-11.3229667884476,-74.0853125457507,24.785957404626,-82.1580746014221,37.7863849588349,-31.230687477584,105.5831176139978,-148.8506267482938
52.0,0.0,3.3268804,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,52,-23.520308562395,-41.0430855386982,71.8984948616742,25.7225547669858,752,41.2069441817885,66.901276301253,-83.8935943104508,89.2093740092177,64.7272527441835,107.9443618399512,-155.79208917212497,63.486819242231896
53.0,1.0,2.5997457,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,53,-27.9936065691642,-36.3837459540641,70.768324639771,83.3382018844835,753,-15.1488507010606,56.3871383604827,-20.7544076454423,59.5433860443074,12.8447558681036,92.7708843145468,-91.5227322852133,-23.7948158401761
54.0,0.0,2.317194,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,54,-20.2243528325871,-11.3896389169302,-0.000340620545160695,1.16233918871051,754,49.3199853968128,-72.7765215294846,83.4925037495966,-12.3999638498458,69.5443382293999,-61.386882612554395,83.49284437014175,-13.56230303855631
55.0,0.0,2.1413933,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,55,29.583687296889,-80.6311013058178,-6.0580514099084,-45.5122304339277,755,61.8944701112975,66.3870403588375,24.1986552689798,-47.6250072397596,32.3107828144085,147.01814166465527,30.2567066788882,-2.112776805831899
56.0,0.0,1.9832444,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,56,51.5231570484204,-65.8271335371909,-66.7677548265329,-51.3290535461824,756,79.273118313973,0.608338291950923,-2.45245468700803,68.3868668070424,27.7499612655526,66.43547182914183,64.31530013952487,119.71592035322479
57.0,0.0,2.1647368,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,57,73.7261668386263,-5.47243519274993,-82.9241992486401,49.4249026347557,757,-54.8628450840675,-3.52977617459146,51.6362867848451,68.3532592584079,-128.5890119226938,1.9426590181584698,134.56048603348518,18.9283566236522
58.0,0.0,2.6917457,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,58,-80.8015118088693,72.3545807826344,-37.2470275375906,6.07905936107381,758,-26.4886941894729,31.3155435612614,-70.6718553893463,49.0719936353223,54.3128176193964,-41.039037221373,-33.42482785175571,42.99293427424849
59.0,1.0,2.0745956,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,59,17.2990324687681,48.6094477650785,-40.5461543146041,67.4512264658337,759,35.3868347168259,-66.4990561369052,1.48828403218294,44.4862597126293,18.087802248057802,-115.1085039019837,42.03443834678704,-22.9649667532044
60.0,0.0,2.0090491,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,60,-24.3553244465214,81.2959197360138,-24.8717163316872,-48.7693494714988,760,58.4605083264645,77.7852279054091,43.6977026339269,54.9852504467664,82.8158327729859,-3.5106918306046992,68.5694189656141,103.7545999182652
61.0,1.0,2.3097002,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,61,-18.0970206989525,-1.01444122127289,81.9714529253832,32.7432825571336,761,-29.4352780075247,10.1546748693574,25.2674347354062,18.7854850493262,-11.3382573085722,11.16911609063029,-56.704018189977006,-13.957797507807395
62.0,1.0,1.8077691,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,62,26.3491496581744,19.6203297761196,72.5206059083493,-11.2122254002202,762,-81.7673825992706,65.6954547831018,-46.7059325329983,83.6336896102899,-108.116532257445,46.07512500698219,-119.2265384413476,94.84591501051011
63.0,0.0,1.9738056,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,63,-22.4125300457756,83.9969173008305,-30.3864238346166,46.8233031817813,763,-39.1445868495495,11.5114052305498,22.1598990088219,62.4983759891665,-16.732056803773897,-72.4855120702807,52.5463228434385,15.675072807385199
64.0,0.0,2.4217928,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,64,-76.2413616191504,55.9223468585603,-79.6079719736773,-30.9725768958202,764,-66.8883642514668,-1.0907819058059,18.5845401729746,72.8037820376856,9.3529973676836,-57.0131287643662,98.1925121466519,103.77635893350579
65.0,0.0,1.9395495,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,65,67.1695810907831,-15.8220185307187,-10.3596388392534,69.086493648652,765,30.5584407658457,-10.1941664250039,67.2469183401329,-75.1431186071158,-36.611140324937395,5.627852105714799,77.6065571793863,-144.2296122557678
66.0,0.0,2.3072259,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,66,-6.63768818535766,13.4384029720909,-57.9053241617166,40.2168493830907,766,-30.7890700667192,30.6205108471253,0.412675272386873,84.8965762419321,-24.15138188136154,17.182107875034397,58.31799943410347,44.6797268588414
67.0,0.0,5.4356213,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,67,2.61201009943707,61.84424383669,-36.8457022839032,-55.7620516624468,767,-17.8539430634296,-17.4949488493427,76.7072956187732,-52.2953762295303,-20.46595316286667,-79.3391926860327,113.5529979026764,3.466675432916503
68.0,0.0,1.9960228,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,68,-68.7692102186171,86.240418490056,-6.08849505372011,2.92039875068008,768,23.2895892566645,5.01227897990071,0.69117954696154,-38.837596745702,92.0587994752816,-81.22813951015529,6.77967460068165,-41.75799549638208
69.0,0.0,2.600879,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,69,47.3653205057775,57.0631796832351,-31.5083962200326,-17.3220208697286,769,-38.4116710830604,12.808078393298,-47.3055755213076,-0.497264983467119,-85.77699158883789,-44.2551012899371,-15.797179301275001,16.82475588626148
70.0,1.0,1.997468,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,70,-12.6541611880617,-24.2992267945542,60.2247572352922,-59.6550674826458,770,77.3391047850552,59.1694261155981,-12.5061400850892,-27.7798938048935,89.9932659731169,83.4686529101523,-72.7308973203814,31.875173677752297
71.0,0.0,3.0804083,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,71,21.9018489222385,-62.3603136601776,38.1385481686496,54.4109542583555,771,-60.8016501913035,82.4316678417138,70.5374344576752,10.3740031700947,-82.703499113542,144.7919815018914,32.398886289025604,-44.03695108826081
